make,model,eng_size,cylender,co2
INFINITI,Q50 HYBRID AWD,3.5,6,200
INFINITI,QX30,2,4,200
INFINITI,QX30 AWD,2,4,221
JAGUAR,XE 20d AWD,2,4,186
JAGUAR,XE 35t AWD,3,6,238
KIA,FORTE KOUP,1.6,4,204
KIA,FORTE KOUP,1.6,4,216
KIA,FORTE KOUP,2,4,203
KIA,FORTE KOUP,2,4,209
KIA,RIO,1.6,4,181
KIA,RIO,1.6,4,181
LEXUS,CT 200h,1.8,4,132
LEXUS,GS F,5,8,293
LEXUS,IS 200t,2,4,214
LEXUS,IS 300 AWD,3.5,6,258
LEXUS,IS 350 AWD,3.5,6,258
MAZDA,CX-3,2,4,179
MAZDA,CX-3 4WD,2,4,192
MAZDA,MAZDA3 4-DOOR,2,4,176
MAZDA,MAZDA3 4-DOOR,2,4,175
MAZDA,MAZDA3 4-DOOR (SIL),2,4,175
MAZDA,MAZDA3 4-DOOR,2.5,4,182
MAZDA,MAZDA3 4-DOOR (i-ELOOP),2.5,4,176
MAZDA,MAZDA3 4-DOOR (SIL),2.5,4,194
MERCEDES-BENZ,AMG C 63,4,8,273
MERCEDES-BENZ,AMG C 63 S,4,8,273
MERCEDES-BENZ,AMG CLA 45,2,4,221
MERCEDES-BENZ,AMG CLS 63 S 4MATIC,5.5,8,308
MERCEDES-BENZ,AMG S 63 CABRIOLET,5.5,8,322
MERCEDES-BENZ,AMG S 63 COUPE,5.5,8,305
MERCEDES-BENZ,AMG S 65 CABRIOLET,6,12,348
MERCEDES-BENZ,AMG S 65 COUPE,6,12,365
MERCEDES-BENZ,C 300 4MATIC,2,4,212
MERCEDES-BENZ,CLA 250,2,4,190
MERCEDES-BENZ,CLS 550 4MATIC,4.7,8,275
MERCEDES-BENZ,S 550 4MATIC CABRIOLET,4.7,8,276
MERCEDES-BENZ,S 550 4MATIC COUPE,4.7,8,278
MITSUBISHI,LANCER,2,4,183
MITSUBISHI,LANCER,2,4,200
MITSUBISHI,LANCER,2.4,4,206
MITSUBISHI,LANCER,2.4,4,218
MITSUBISHI,LANCER 4WD,2.4,4,212
MITSUBISHI,MIRAGE,1.2,3,141
MITSUBISHI,MIRAGE,1.2,3,150
MITSUBISHI,MIRAGE G4,1.2,3,149
MITSUBISHI,MIRAGE G4,1.2,3,155
NISSAN,MICRA,1.6,4,186
NISSAN,MICRA,1.6,4,185
ROLLS-ROYCE,DAWN,6.6,12,390
ROLLS-ROYCE,PHANTOM COUPE,6.7,12,400
ROLLS-ROYCE,PHANTOM DROPHEAD COUPE,6.7,12,401
SUBARU,WRX AWD,2,4,255
SUBARU,WRX AWD,2,4,235
SUBARU,WRX AWD,2.5,4,285
TOYOTA,PRIUS c,1.5,4,120
TOYOTA,YARIS,1.5,4,155
TOYOTA,YARIS (SIL),1.5,4,164
TOYOTA,YARIS HATCHBACK,1.5,4,173
TOYOTA,YARIS HATCHBACK,1.5,4,168
VOLKSWAGEN,BEETLE,1.8,4,199
VOLKSWAGEN,BEETLE,1.8,4,198
VOLKSWAGEN,BEETLE DUNE,1.8,4,201
VOLKSWAGEN,CC 4MOTION,3.6,6,277
VOLKSWAGEN,GOLF,1.8,4,192
VOLKSWAGEN,GOLF,1.8,4,190
VOLKSWAGEN,GOLF GTI,2,4,199
VOLKSWAGEN,GOLF GTI,2,4,198
VOLKSWAGEN,GOLF R,2,4,216
VOLKSWAGEN,GOLF R,2,4,220
VOLKSWAGEN,JETTA,1.4,4,175
VOLKSWAGEN,JETTA,1.4,4,168
VOLKSWAGEN,JETTA,1.8,4,193
VOLKSWAGEN,JETTA,2,4,205
VOLKSWAGEN,JETTA,2,4,208
VOLVO,S60 T5,2,4,198
VOLVO,S60 T5 AWD,2,4,219
VOLVO,S60 INSCRIPTION T5,2,4,198
VOLVO,S60 INSCRIPTION T5 AWD,2,4,219
VOLVO,S60 T6 AWD,2,4,221
VOLVO,S60 POLESTAR,2,4,241
VOLVO,S60 CC T5 AWD,2,4,220
ACURA,ILX,2.4,4,192
ACURA,TLX,2.4,4,205
ACURA,TLX A-SPEC,2.4,4,209
ACURA,TLX SH-AWD,3.5,6,228
ACURA,TLX SH-AWD A-SPEC,3.5,6,240
AUDI,A4,2,4,177
AUDI,A4 QUATTRO,2,4,203
AUDI,A4 QUATTRO,2,4,204
AUDI,Q3,2,4,236
AUDI,Q3 QUATTRO,2,4,240
AUDI,S4,3,6,232
BENTLEY,CONTINENTAL GT CONVERTIBLE,6,12,389
BENTLEY,CONTINENTAL SUPERSPORTS,6,12,389
BMW,328d xDRIVE,2,4,184
BMW,330i xDRIVE,2,4,208
BMW,340i,3,6,183
BMW,340i,3,6,240
BMW,340i xDRIVE,3,6,223
BMW,340i xDRIVE,3,6,245
BMW,430i xDRIVE COUPE,2,4,208
BMW,430i xDRIVE GRAN COUPE,2,4,208
BMW,440i COUPE,3,6,183
BMW,440i COUPE,3,6,240
BMW,440i xDRIVE COUPE,3,6,223
BMW,440i xDRIVE COUPE,3,6,245
BMW,440i xDRIVE GRAN COUPE,3,6,223
BMW,640i xDRIVE GRAN COUPE,3,6,248
BMW,650i xDRIVE GRAN COUPE,4.4,8,292
BMW,ALPINA B6 xDRIVE GRAN COUPE,4.4,8,292
BMW,M3,3,6,280
BMW,M3,3,6,273
BMW,M4 COUPE,3,6,280
BMW,M4 COUPE,3,6,273
BMW,M6 GRAN COUPE,4.4,8,344
BMW,M6 GRAN COUPE,4.4,8,324
CADILLAC,ATS,2,4,216
CADILLAC,ATS,2,4,240
CADILLAC,ATS,3.6,6,234
CADILLAC,ATS AWD,2,4,222
CADILLAC,ATS AWD,3.6,6,247
CADILLAC,ATS-V,3.6,6,291
CADILLAC,ATS-V,3.6,6,295
CHEVROLET,CRUZE,1.4,4,166
CHEVROLET,CRUZE,1.4,4,172
CHEVROLET,CRUZE PREMIER,1.4,4,169
CHEVROLET,CRUZE DIESEL,1.6,4,175
CHEVROLET,CRUZE DIESEL,1.6,4,170
CHEVROLET,SONIC,1.4,4,184
CHEVROLET,SONIC,1.4,4,174
CHEVROLET,SONIC,1.8,4,193
CHEVROLET,SONIC,1.8,4,190
FORD,FOCUS,1,3,176
FORD,FOCUS,1,3,164
FORD,FOCUS,2,4,179
FORD,FOCUS,2,4,200
FORD,FOCUS,2,4,196
HONDA,CIVIC COUPE,1.5,4,158
HONDA,CIVIC COUPE,1.5,4,158
HONDA,CIVIC COUPE,2,4,163
HONDA,CIVIC COUPE,2,4,173
HONDA,CIVIC COUPE Si,1.5,4,173
HYUNDAI,ACCENT,1.6,4,173
HYUNDAI,ACCENT,1.6,4,173
INFINITI,Q50 HYBRID AWD,3.5,6,200
INFINITI,QX30,2,4,200
INFINITI,QX30 AWD,2,4,221
JAGUAR,XE 20d AWD,2,4,186
JAGUAR,XE 25t AWD,2,4,200
JAGUAR,XE 35t AWD,3,6,238
KIA,RIO,1.6,4,177
KIA,RIO,1.6,4,175
LEXUS,GS F,5,8,293
LEXUS,IS 300,2,4,214
LEXUS,IS 300 AWD,3.5,6,254
LEXUS,IS 350 AWD,3.5,6,254
MAZDA,CX-3,2,4,180
MAZDA,CX-3,2,4,189
MAZDA,CX-3 4WD,2,4,192
MAZDA,MAZDA3 4-DOOR,2,4,176
MAZDA,MAZDA3 4-DOOR,2,4,175
MAZDA,MAZDA3 4-DOOR (SIL),2,4,175
MAZDA,MAZDA3 4-DOOR,2.5,4,182
MAZDA,MAZDA3 4-DOOR (i-ELOOP),2.5,4,176
MAZDA,MAZDA3 4-DOOR (SIL),2.5,4,194
MERCEDES-BENZ,AMG C 43 4MATIC,3,6,244
MERCEDES-BENZ,AMG C 63,4,8,274
MERCEDES-BENZ,AMG C 63 S,4,8,274
MERCEDES-BENZ,AMG CLA 45 4MATIC,2,4,217
MERCEDES-BENZ,AMG S 63 4MATIC COUPE,4,8,271
MERCEDES-BENZ,C 300 4MATIC,2,4,214
MERCEDES-BENZ,CLA 250,2,4,193
MERCEDES-BENZ,CLA 250 4MATIC,2,4,204
MERCEDES-BENZ,S 560 4MATIC COUPE,4,8,269
MITSUBISHI,MIRAGE,1.2,3,141
MITSUBISHI,MIRAGE,1.2,3,150
MITSUBISHI,MIRAGE G4,1.2,3,149
MITSUBISHI,MIRAGE G4,1.2,3,155
NISSAN,MICRA,1.6,4,188
NISSAN,MICRA,1.6,4,186
ROLLS-ROYCE,DAWN,6.6,12,397
SUBARU,WRX AWD,2,4,256
SUBARU,WRX AWD,2,4,235
SUBARU,WRX STI AWD,2.5,4,291
SUBARU,WRX STI AWD TYPE RA,2.5,4,296
TOYOTA,C-HR,2,4,189
TOYOTA,PRIUS c,1.5,4,120
TOYOTA,YARIS,1.5,4,155
TOYOTA,YARIS (SIL),1.5,4,164
TOYOTA,YARIS HATCHBACK,1.5,4,173
TOYOTA,YARIS HATCHBACK,1.5,4,168
VOLKSWAGEN,BEETLE,2,4,191
VOLKSWAGEN,BEETLE DUNE,2,4,189
VOLKSWAGEN,GOLF,1.8,4,199
VOLKSWAGEN,GOLF,1.8,4,192
VOLKSWAGEN,GOLF GTI,2,4,200
VOLKSWAGEN,GOLF GTI,2,4,199
VOLKSWAGEN,GOLF R,2,4,220
VOLKSWAGEN,GOLF R,2,4,227
VOLVO,S60 T5 AWD,2,4,226
VOLVO,S60 T6 AWD,2,4,221
VOLVO,S60 POLESTAR,2,4,241
VOLVO,S60 CC T5 AWD,2,4,220
ACURA,ILX,2.4,4,199
ACURA,TLX,2.4,4,205
ACURA,TLX A-SPEC,2.4,4,209
ACURA,TLX SH-AWD,3.5,6,228
ACURA,TLX SH-AWD A-SPEC,3.5,6,240
AUDI,A4,2,4,182
AUDI,A4 quattro,2,4,204
AUDI,S4,3,6,230
BMW,330i xDrive,2,4,194
BMW,430i xDrive Coupe,2,4,207
BMW,430i xDrive Gran Coupe,2,4,207
BMW,440i Coupe,3,6,227
BMW,440i Coupe,3,6,256
BMW,440i xDrive Coupe,3,6,228
BMW,440i xDrive Coupe,3,6,256
BMW,440i xDrive Gran Coupe,3,6,228
BMW,640i xDrive Gran Coupe,3,6,248
BMW,650i xDrive Gran Coupe,4.4,8,282
BMW,Alpina B6 xDrive Gran Coupe,4.4,8,282
BMW,M4 Coupe,3,6,294
BMW,M4 Coupe,3,6,273
BMW,M4 Coupe Competition,3,6,294
BMW,M4 Coupe Competition,3,6,273
BMW,M4 CS,3,6,294
BMW,M6 Gran Coupe,4.4,8,344
CHEVROLET,Cruze,1.4,4,172
CHEVROLET,Cruze Premier,1.4,4,172
CHEVROLET,Cruze Diesel,1.6,4,172
GENESIS,G70,2,4,255
GENESIS,G70 AWD,2,4,241
GENESIS,G70 AWD,3.3,6,274
HONDA,Civic Coupe,1.5,4,167
HONDA,Civic Coupe,2,4,164
HONDA,Civic Coupe,2,4,176
HONDA,Civic Coupe,2,4,189
HONDA,Civic Coupe Si,1.5,4,173
HYUNDAI,Accent,1.6,4,172
HYUNDAI,Accent,1.6,4,173
HYUNDAI,Veloster,2,4,193
HYUNDAI,Veloster,2,4,198
HYUNDAI,Veloster N,2,4,226
HYUNDAI,Veloster Turbo,1.6,4,184
HYUNDAI,Veloster Turbo,1.6,4,197
JAGUAR,XE 20d AWD,2,4,186
JAGUAR,XE 25t AWD,2,4,200
JAGUAR,XE 35t AWD,3,6,238
KIA,Rio,1.6,4,177
KIA,Rio,1.6,4,175
LEXUS,GS F,5,8,293
LEXUS,IS 300,2,4,220
LEXUS,IS 300 AWD,3.5,6,254
LEXUS,IS 350 AWD,3.5,6,254
LEXUS,UX 250h,2,4,130
LEXUS,UX 250h AWD,2,4,140
MAZDA,CX-3,2,4,179
MAZDA,CX-3,2,4,186
MAZDA,CX-3 4WD,2,4,189
MAZDA,Mazda3 4-Door,2,4,178
MAZDA,Mazda3 4-Door (SIL),2,4,180
MAZDA,Mazda3 4-Door,2.5,4,181
MAZDA,Mazda3 4-Door (Cylinder Deactivation),2.5,4,183
MAZDA,Mazda3 4-Door 4WD,2.5,4,192
MERCEDES-BENZ,AMG C 43 4MATIC,3,6,253
MERCEDES-BENZ,AMG C 63,4,8,263
MERCEDES-BENZ,AMG C 63 S,4,8,263
MERCEDES-BENZ,AMG CLS 53 4MATIC+,3,6,235
MERCEDES-BENZ,AMG GT 53 4MATIC+ Coupe,3,6,264
MERCEDES-BENZ,AMG GT 63 4MATIC+ Coupe,4,8,323
MERCEDES-BENZ,AMG GT 63 S 4MATIC+ Coupe,4,8,324
MERCEDES-BENZ,AMG S 63 4MATIC+ Coupe,4,8,271
MERCEDES-BENZ,AMG S 65 Coupe,6,12,343
MERCEDES-BENZ,C 300 4MATIC,2,4,219
MERCEDES-BENZ,CLS 450 4MATIC,3,6,213
MITSUBISHI,Mirage,1.2,3,143
MITSUBISHI,Mirage,1.2,3,151
MITSUBISHI,Mirage G4,1.2,3,148
MITSUBISHI,Mirage G4,1.2,3,153
NISSAN,Micra,1.6,4,188
NISSAN,Micra,1.6,4,186
ROLLS-ROYCE,Dawn,6.6,12,397
SUBARU,WRX AWD,2,4,256
SUBARU,WRX AWD,2,4,235
SUBARU,WRX STI AWD,2.5,4,296
TOYOTA,C-HR,2,4,189
TOYOTA,Corolla Hatchback,2,4,157
TOYOTA,Corolla Hatchback,2,4,174
TOYOTA,Prius c,1.5,4,120
TOYOTA,Yaris,1.5,4,155
TOYOTA,Yaris (SIL),1.5,4,164
TOYOTA,Yaris Hatchback,1.5,4,173
TOYOTA,Yaris Hatchback,1.5,4,169
VOLKSWAGEN,Beetle,2,4,191
VOLKSWAGEN,Beetle Dune,2,4,189
VOLKSWAGEN,Golf,1.4,4,172
VOLKSWAGEN,Golf,1.4,4,172
VOLKSWAGEN,Golf GTI,2,4,202
VOLKSWAGEN,Golf GTI,2,4,203
VOLKSWAGEN,Golf R,2,4,213
VOLKSWAGEN,Golf R,2,4,232
VOLKSWAGEN,Jetta,1.4,4,162
VOLKSWAGEN,Jetta,1.4,4,163
VOLKSWAGEN,Jetta GLI,2,4,196
VOLKSWAGEN,Jetta GLI,2,4,200
VOLVO,S60 T5,2,4,197
VOLVO,S60 T6 AWD,2,4,218
ACURA,ILX,2.4,4,199
ACURA,TLX A-SPEC,2.4,4,209
ACURA,TLX SH-AWD,3.5,6,228
ACURA,TLX SH-AWD A-SPEC/Limited Edition,3.5,6,240
AUDI,A4 quattro,2,4,205
AUDI,S4,3,6,245
BENTLEY,Continental GT,4,8,291
BENTLEY,Continental GT,6,12,364
BMW,330i xDrive Sedan,2,4,195
BMW,430i Coupe,2,4,204
BMW,430i xDrive Coupe,2,4,219
BMW,430i xDrive Gran Coupe,2,4,219
BMW,440i Coupe,3,6,231
BMW,440i xDrive Coupe,3,6,233
BMW,440i xDrive Coupe,3,6,257
BMW,440i xDrive Gran Coupe,3,6,233
BMW,M340i xDrive Sedan,3,6,233
BMW,M4 Coupe,3,6,290
BMW,M4 Coupe Competition,3,6,290
BMW,M4 Coupe,3,6,273
BMW,M4 Coupe Competition,3,6,273
BMW,M4 CS,3,6,290
CADILLAC,CT4,2,4,203
CADILLAC,CT4,2.7,4,232
CADILLAC,CT4 AWD,2,4,213
CADILLAC,CT4 AWD,2.7,4,238
CADILLAC,CT4-V,2.7,4,234
CADILLAC,CT4-V AWD,2.7,4,238
GENESIS,G70,2,4,255
GENESIS,G70 AWD,2,4,238
GENESIS,G70 AWD,3.3,6,284
HONDA,Civic Coupe,1.5,4,167
HONDA,Civic Coupe,2,4,164
HONDA,Civic Coupe,2,4,176
HONDA,Civic Coupe,2,4,189
HONDA,Civic Coupe Si,1.5,4,183
HYUNDAI,Accent,1.6,4,160
HYUNDAI,Accent,1.6,4,168
HYUNDAI,Veloster Turbo,1.6,4,184
HYUNDAI,Veloster Turbo,1.6,4,196
HYUNDAI,Veloster,2,4,193
HYUNDAI,Veloster N,2,4,226
JAGUAR,XE P250 AWD,2,4,200
JAGUAR,XE P300 AWD,2,4,220
KIA,Rio,1.6,4,151
KIA,Rio,1.6,4,167
LEXUS,GS F,5,8,293
LEXUS,IS 300,2,4,220
LEXUS,IS 300 AWD,3.5,6,254
LEXUS,IS 350 AWD,3.5,6,254
LEXUS,UX 250h AWD,2,4,140
MAZDA,CX-3,2,4,179
MAZDA,CX-3 (SIL),2,4,186
MAZDA,CX-3 4WD,2,4,189
MAZDA,Mazda3 4-Door,2,4,178
MAZDA,Mazda3 4-Door (SIL),2,4,180
MAZDA,Mazda3 4-Door,2.5,4,181
MAZDA,Mazda3 4-Door (Cylinder Deactivation),2.5,4,183
MAZDA,Mazda3 4-Door 4WD,2.5,4,192
MERCEDES-BENZ,AMG C 43 4MATIC,3,6,253
MERCEDES-BENZ,AMG C 63,4,8,263
MERCEDES-BENZ,AMG C 63 S,4,8,263
MERCEDES-BENZ,AMG CLS 53 4MATIC+,3,6,235
MERCEDES-BENZ,AMG S 63 4MATIC+ Coupe,4,8,271
MERCEDES-BENZ,C 300 4MATIC,2,4,219
MERCEDES-BENZ,CLS 450 4MATIC,3,6,213
MITSUBISHI,Mirage,1.2,3,143
MITSUBISHI,Mirage,1.2,3,151
NISSAN,Versa,1.6,4,158
NISSAN,Versa,1.6,4,181
ROLLS-ROYCE,Dawn,6.6,12,400
SUBARU,WRX AWD,2,4,263
SUBARU,WRX AWD,2,4,236
SUBARU,WRX STI AWD,2.5,4,297
TOYOTA,C-HR,2,4,189
TOYOTA,Corolla,1.8,4,165
TOYOTA,Corolla XLE,1.8,4,170
TOYOTA,Corolla,1.8,4,165
TOYOTA,Corolla,2,4,158
TOYOTA,Corolla XSE,2,4,164
TOYOTA,Corolla,2,4,173
TOYOTA,Corolla Hatchback,2,4,158
TOYOTA,Corolla Hatchback,2,4,174
TOYOTA,Corolla Hybrid,1.8,4,106
TOYOTA,Prius c,1.5,4,120
TOYOTA,Yaris,1.5,4,155
TOYOTA,Yaris (SIL),1.5,4,165
VOLKSWAGEN,Golf,1.4,4,174
VOLKSWAGEN,Golf,1.4,4,177
VOLKSWAGEN,Golf GTI,2,4,203
VOLKSWAGEN,Golf GTI,2,4,203
VOLKSWAGEN,Jetta,1.4,4,162
VOLKSWAGEN,Jetta,1.4,4,163
VOLKSWAGEN,Jetta GLI,2,4,196
VOLKSWAGEN,Jetta GLI,2,4,198
VOLVO,S60 T5,2,4,208
VOLVO,S60 T6 AWD,2,4,219
